trip_id,start_date,delay,day_of_week,time_stamp,stop_sequence,stop_id
562565973,"May 27, 2023",273,Saturday,10:55:02,92,2130
562566383,"May 27, 2023",513,Saturday,10:55:19,63,1690
562561643,"May 27, 2023",7,Saturday,10:55:19,42,11132
562561913,"May 27, 2023",11,Saturday,10:55:11,1,11370
585708643,"May 27, 2023",186,Saturday,10:55:18,1,55938
585708843,"May 27, 2023",52,Saturday,10:55:13,201,79570
585709233,"May 27, 2023",-83,Saturday,10:55:11,343,99267
559954023,"May 27, 2023",34,Saturday,10:55:02,1,45305
608918583,"May 27, 2023",8,Saturday,10:55:04,71,54152
474186103,"May 27, 2023",349,Saturday,10:55:04,390,46420
474186183,"May 27, 2023",44,Saturday,10:55:17,28,8590
474186383,"May 27, 2023",437,Saturday,10:55:17,213,31132
474186753,"May 27, 2023",113,Saturday,10:55:07,134,56081
571853923,"May 27, 2023",498,Saturday,10:55:15,398,55831
571853973,"May 27, 2023",-14,Saturday,10:55:13,179,55200
571854023,"May 27, 2023",377,Saturday,10:55:19,263,55593
571854363,"May 27, 2023",107,Saturday,10:55:03,1,46464
608919343,"May 27, 2023",-17,Saturday,10:55:15,430,46380
608919353,"May 27, 2023",65,Saturday,10:55:09,378,30290
608919383,"May 27, 2023",235,Saturday,10:55:10,52,42140
608919393,"May 27, 2023",-7,Saturday,10:55:14,74,45390
546690083,"May 27, 2023",2379,Saturday,10:55:09,115,12420
546690093,"May 27, 2023",551,Saturday,10:55:12,122,12430
546690103,"May 27, 2023",96,Saturday,10:55:10,25,1180
561662343,"May 27, 2023",54,Saturday,10:55:09,539,47255
497742843,"May 27, 2023",163,Saturday,10:55:13,68,13320
497743123,"May 27, 2023",50,Saturday,10:55:14,20,13270
556206723,"May 27, 2023",413,Saturday,10:55:05,1,60923
556206883,"May 27, 2023",238,Saturday,10:55:13,327,21700
585378083,"May 27, 2023",228,Saturday,10:55:05,237,433
556204753,"May 27, 2023",299,Saturday,10:55:15,143,60930
556204803,"May 27, 2023",502,Saturday,10:55:12,374,21420
556205123,"May 27, 2023",1286,Saturday,10:55:12,226,49571
556205133,"May 27, 2023",-26,Saturday,10:55:01,170,22244
556205143,"May 27, 2023",7,Saturday,10:55:07,1,37130
